SNR,Model,Config,Modulation,Channel,BER
4.0,vgg,4x1,QPSK,nonideal,0.49830625
4.0,vgg,4x2,BPSK,nonideal,0.499434375
4.0,vgg,4x2,QPSK,nonideal,0.4999875
4.0,vgg,4x4,BPSK,nonideal,0.499875
4.0,vgg,4x4,QPSK,nonideal,0.498828125
6.0,densenet,2x1,BPSK,nonideal,0.501175
6.0,densenet,2x1,QPSK,nonideal,0.502028125
6.0,densenet,2x2,BPSK,nonideal,0.500434375
6.0,densenet,2x2,QPSK,nonideal,0.499190625
6.0,densenet,3x1,BPSK,nonideal,0.499771875
6.0,densenet,3x1,QPSK,nonideal,0.499690625
6.0,densenet,4x1,BPSK,nonideal,0.50125625
6.0,densenet,4x1,QPSK,nonideal,0.500734375
6.0,densenet,4x2,BPSK,nonideal,0.500603125
6.0,densenet,4x2,QPSK,nonideal,0.49830625
6.0,densenet,4x4,BPSK,nonideal,0.4994375
6.0,densenet,4x4,QPSK,nonideal,0.499665625
6.0,mobilenetv2,2x1,BPSK,nonideal,0.49919375
6.0,mobilenetv2,2x1,QPSK,nonideal,0.50021875
6.0,mobilenetv2,2x2,BPSK,nonideal,0.499478125
6.0,mobilenetv2,2x2,QPSK,nonideal,0.50016875
6.0,mobilenetv2,3x1,BPSK,nonideal,0.49974375
6.0,mobilenetv2,3x1,QPSK,nonideal,0.49914375
6.0,mobilenetv2,4x1,BPSK,nonideal,0.500184375
6.0,mobilenetv2,4x1,QPSK,nonideal,0.50008125
6.0,mobilenetv2,4x2,BPSK,nonideal,0.499525
6.0,mobilenetv2,4x2,QPSK,nonideal,0.499115625
6.0,mobilenetv2,4x4,BPSK,nonideal,0.500809375
6.0,mobilenetv2,4x4,QPSK,nonideal,0.50248125
6.0,resnet50,2x1,BPSK,nonideal,0.500284375
6.0,resnet50,2x1,QPSK,nonideal,0.50010625
6.0,resnet50,2x2,BPSK,nonideal,0.49870625
6.0,resnet50,2x2,QPSK,nonideal,0.5006
6.0,resnet50,3x1,BPSK,nonideal,0.499615625
6.0,resnet50,3x1,QPSK,nonideal,0.4990875
6.0,resnet50,4x1,BPSK,nonideal,0.49925
6.0,resnet50,4x1,QPSK,nonideal,0.499396875
6.0,resnet50,4x2,BPSK,nonideal,0.501434375
6.0,resnet50,4x2,QPSK,nonideal,0.500375
6.0,resnet50,4x4,BPSK,nonideal,0.500996875
6.0,resnet50,4x4,QPSK,nonideal,0.500784375
6.0,vgg,2x1,BPSK,nonideal,0.5012875
6.0,vgg,2x1,QPSK,nonideal,0.499534375
6.0,vgg,2x2,BPSK,nonideal,0.500775
6.0,vgg,2x2,QPSK,nonideal,0.50024375
6.0,vgg,3x1,BPSK,nonideal,0.5003125
6.0,vgg,3x1,QPSK,nonideal,0.50135
6.0,vgg,4x1,BPSK,nonideal,0.499353125
6.0,vgg,4x1,QPSK,nonideal,0.497771875
6.0,vgg,4x2,BPSK,nonideal,0.499959375
6.0,vgg,4x2,QPSK,nonideal,0.50038125
6.0,vgg,4x4,BPSK,nonideal,0.50085
6.0,vgg,4x4,QPSK,nonideal,0.49910625
8.0,densenet,2x1,BPSK,nonideal,0.50075625
8.0,densenet,2x1,QPSK,nonideal,0.50086875
8.0,densenet,2x2,BPSK,nonideal,0.49985625
8.0,densenet,2x2,QPSK,nonideal,0.49979375
8.0,densenet,3x1,BPSK,nonideal,0.5008625
8.0,densenet,3x1,QPSK,nonideal,0.4999375
8.0,densenet,4x1,BPSK,nonideal,0.500375
8.0,densenet,4x1,QPSK,nonideal,0.501678125
8.0,densenet,4x2,BPSK,nonideal,0.501190625
8.0,densenet,4x2,QPSK,nonideal,0.500228125
8.0,densenet,4x4,BPSK,nonideal,0.50024375
8.0,densenet,4x4,QPSK,nonideal,0.500215625
8.0,mobilenetv2,2x1,BPSK,nonideal,0.498434375
8.0,mobilenetv2,2x1,QPSK,nonideal,0.50146875
8.0,mobilenetv2,2x2,BPSK,nonideal,0.500528125
8.0,mobilenetv2,2x2,QPSK,nonideal,0.499846875
8.0,mobilenetv2,3x1,BPSK,nonideal,0.50075625
8.0,mobilenetv2,3x1,QPSK,nonideal,0.500284375
8.0,mobilenetv2,4x1,BPSK,nonideal,0.499015625
8.0,mobilenetv2,4x1,QPSK,nonideal,0.499140625
8.0,mobilenetv2,4x2,BPSK,nonideal,0.4999125
8.0,mobilenetv2,4x2,QPSK,nonideal,0.4987375
8.0,mobilenetv2,4x4,BPSK,nonideal,0.500121875
8.0,mobilenetv2,4x4,QPSK,nonideal,0.500175
8.0,resnet50,2x1,BPSK,nonideal,0.50050625
8.0,resnet50,2x1,QPSK,nonideal,0.501259375
8.0,resnet50,2x2,BPSK,nonideal,0.498925
8.0,resnet50,2x2,QPSK,nonideal,0.500665625
8.0,resnet50,3x1,BPSK,nonideal,0.50055625
8.0,resnet50,3x1,QPSK,nonideal,0.499665625
8.0,resnet50,4x1,BPSK,nonideal,0.499259375
8.0,resnet50,4x1,QPSK,nonideal,0.50135625
8.0,resnet50,4x2,BPSK,nonideal,0.498378125
8.0,resnet50,4x2,QPSK,nonideal,0.50115625
8.0,resnet50,4x4,BPSK,nonideal,0.49875
8.0,resnet50,4x4,QPSK,nonideal,0.5001375
8.0,vgg,2x1,BPSK,nonideal,0.500309375
8.0,vgg,2x1,QPSK,nonideal,0.501021875
8.0,vgg,2x2,BPSK,nonideal,0.5007375
8.0,vgg,2x2,QPSK,nonideal,0.49974375
8.0,vgg,3x1,BPSK,nonideal,0.4994625
8.0,vgg,3x1,QPSK,nonideal,0.4996875
8.0,vgg,4x1,BPSK,nonideal,0.500540625
8.0,vgg,4x1,QPSK,nonideal,0.500096875
8.0,vgg,4x2,BPSK,nonideal,0.501375
8.0,vgg,4x2,QPSK,nonideal,0.50028125
8.0,vgg,4x4,BPSK,nonideal,0.5005125
8.0,vgg,4x4,QPSK,nonideal,0.4996625
